permno,PERMCO,HSHRCD,DLSTCD,HTICK,HCOMNAM,HTSYMBOL,HNAICS,HPRIMEXC,HTRDSTAT,HSECSTAT,CUSIP,COMPNO,ISSUNO,HEXCD,HSICCD,NUMNAM,NUMDIS,NUMSHR,NUMDEL,NUMNDI,BEGDAT,ENDDAT,BEGPRC,ENDPRC,BEGRET,ENDRET,BEGVOL,ENDVOL
10353,8275,11,570,,STEEL EXCEL INC,SXCL,334418,Q,A,R,85812220,60008227,10876,3,3570,7,4,157,1,1761,1986-06-11,2016-03-31,1986-06-11,2016-03-31,1986-06-11,2016-03-31,1986-06-11,2016-03-31
10401,20103,11,231,,A T & T CORP,T,517212,N,A,R,00195750,0,0,1,4813,9,363,293,1,0,1925-12-31,2005-11-18,1925-12-31,2005-11-18,1925-12-31,2005-11-18,1925-12-31,2005-11-18
10516,20207,11,100,ADM,ARCHER DANIELS MIDLAND CO,ADM,311221,N,A,R,03948310,0,0,1,2046,9,444,532,1,0,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31
10562,8470,11,231,,SOVEREIGN BANCORP INC,SOV,522120,N,A,R,84590510,70069222,11162,1,6035,7,97,181,1,717,1986-08-12,2009-01-29,1986-08-12,2009-01-29,1986-08-12,2009-01-29,1986-08-12,2009-01-29
10604,20227,11,231,,ATLANTIC RICHFIELD CO,,,N,A,R,04882510,0,0,1,2911,5,322,198,1,0,1925-12-31,2000-04-17,1925-12-31,2000-04-17,1925-12-31,2000-04-17,1925-12-31,2000-04-17
10693,8596,11,100,EHC,ENCOMPASS HEALTH CORP,EHC,622310,N,A,R,29261A10,60008546,11349,1,8069,9,51,373,1,88,1986-09-24,2024-12-31,1986-09-24,2024-12-31,1986-09-24,2024-12-31,1986-09-24,2024-12-31
10696,8598,11,100,FI,FISERV INC,FI,518210,N,A,R,33773810,60008548,11354,1,7374,4,8,292,1,1799,1986-09-25,2024-12-31,1986-09-25,2024-12-31,1986-09-25,2024-12-31,1986-09-25,2024-12-31
10725,9662,11,233,,CHARTER ONE FINANCIAL INC,CF,522110,N,A,R,16090310,60009602,12866,1,6021,6,77,119,1,480,1988-01-22,2004-08-31,1988-01-22,2004-08-31,1988-01-22,2004-08-31,1988-01-22,2004-08-31
10786,20299,11,520,,BETHLEHEM STEEL CORP,BS,,N,A,R,08750910,0,0,1,3312,4,223,212,1,0,1925-12-31,2002-06-11,1925-12-31,2002-06-11,1925-12-31,2002-06-11,1925-12-31,2002-06-11
10791,8685,11,552,,SILICON GRAPHICS INC,SGI,334111,N,A,R,82705610,60008634,11465,1,3571,5,3,178,1,106,1986-10-29,2005-11-04,1986-10-29,2005-11-04,1986-10-29,2005-11-04,1986-10-29,2005-11-04
10874,20344,11,100,BC,BRUNSWICK CORP,BC,333618,N,A,R,11704310,0,0,1,3519,10,312,497,1,0,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31
10890,21814,11,100,UIS,UNISYS CORP,UIS,541512,N,A,R,90921430,0,0,1,7373,11,286,506,1,0,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31
10909,8786,11,233,,CERNER CORP,CERN,541512,Q,A,R,15678210,60008734,11614,3,7373,3,19,234,1,1920,1986-12-05,2022-06-07,1986-12-05,2022-06-07,1986-12-05,2022-06-07,1986-12-05,2022-06-07
10942,8818,11,231,,COMVERSE TECHNOLOGY INC,CMVT,334418,Q,A,R,20586240,60008766,11664,3,3661,7,5,134,1,1463,1986-12-15,2013-02-04,1986-12-15,2013-02-04,1986-12-15,2013-02-04,1986-12-15,2013-02-04
10989,20365,11,233,,BESTFOODS,,,N,A,R,08658U10,0,0,1,2046,7,326,201,1,0,1925-12-31,2000-10-04,1925-12-31,2000-10-04,1925-12-31,2000-10-04,1925-12-31,2000-10-04
11042,61,11,574,,WORLDCOM INC GA NEW,WCOEQ,,Q,A,R,98157D10,60000060,82,3,4813,18,10,115,1,924,1980-11-24,2002-07-29,1980-11-24,2002-07-29,1980-11-24,2002-07-29,1982-11-01,2002-07-29
11081,9833,11,233,,DELL INC,DELL,334118,Q,A,R,24702R10,70015042,13114,3,3570,5,14,177,1,1990,1988-06-22,2013-10-29,1988-06-22,2013-10-29,1988-06-22,2013-10-29,1988-06-22,2013-10-29
11308,20468,11,100,KO,COCA COLA CO,KO,311930,N,A,R,19121610,0,0,1,2087,7,446,502,1,0,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31
11340,20478,11,261,,COLUMBIA ENERGY GROUP,,,N,A,R,19764810,0,0,1,1321,5,263,215,1,0,1925-12-31,2000-11-01,1925-12-31,2000-11-01,1925-12-31,2000-11-01,1925-12-31,2000-11-01
11403,9245,11,100,CDNS,CADENCE DESIGN SYSTEMS INC,CDNS,513210,Q,A,R,12738710,60018179,24495,3,7372,10,5,298,1,890,1987-06-10,2024-12-31,1987-06-10,2024-12-31,1987-06-10,2024-12-31,1987-06-10,2024-12-31
11404,20499,11,100,ED,CONSOLIDATED EDISON INC,ED,221118,N,A,R,20911510,0,0,1,4931,11,422,500,1,0,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31
11415,9252,11,241,,BARR PHARMACEUTICALS INC,BRL,325412,N,A,R,06830610,60009197,12304,1,2834,8,7,220,1,16,1987-06-12,2008-12-22,1987-06-12,2008-12-22,1987-06-12,2008-12-22,1987-06-12,2008-12-22
11533,9360,11,100,FICO,FAIR ISAAC CORP,FICO,561499,N,A,R,30325010,60009304,12449,1,7389,13,104,395,1,47,1987-07-22,2024-12-31,1987-07-22,2024-12-31,1987-07-22,2024-12-31,1987-07-22,2024-12-31
11552,9374,11,244,,CELGENE CORP,CELG,325412,Q,A,R,15102010,60009318,12464,3,2890,4,7,239,1,2198,1987-07-28,2019-11-20,1987-07-28,2019-11-20,1987-07-28,2019-11-20,1987-07-28,2019-11-20
11600,9424,11,100,XRAY,DENTSPLY SIRONA INC,XRAY,339114,Q,A,R,24906P10,60009368,12540,3,3840,4,127,274,1,1686,1987-08-12,2024-12-31,1987-08-12,2024-12-31,1987-08-12,2024-12-31,1987-08-12,2024-12-31
11607,20556,11,520,,DANA CORP,DCN,336312,N,A,R,23581110,0,0,1,3714,6,281,276,1,0,1925-12-31,2006-03-03,1925-12-31,2006-03-03,1925-12-31,2006-03-03,1925-12-31,2006-03-03
11618,9440,11,100,FAST,FASTENAL CO,FAST,423840,Q,A,R,31190010,60009384,12569,3,5200,5,97,288,1,1851,1987-08-20,2024-12-31,1987-08-20,2024-12-31,1987-08-20,2024-12-31,1987-08-20,2024-12-31
11674,20574,11,100,DTE,D T E ENERGY CO,DTE,221118,N,A,R,23333110,0,0,1,4911,8,497,509,1,0,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31
11703,20606,11,231,,DU PONT E I DE NEMOURS & CO,DD,325320,N,A,R,26353410,0,0,1,2879,7,402,415,1,0,1925-12-31,2017-08-31,1925-12-31,2017-08-31,1925-12-31,2017-08-31,1925-12-31,2017-08-31
11754,20626,11,552,,EASTMAN KODAK CO,EK,325992,N,A,R,27746110,0,0,1,3861,5,405,343,1,0,1925-12-31,2012-01-18,1925-12-31,2012-01-18,1925-12-31,2012-01-18,1925-12-31,2012-01-18
11762,20627,12,100,ETN,EATON CORP PLC,ETN,541611,N,A,R,G2918310,0,0,1,8742,16,425,510,1,0,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31
11786,9588,11,584,,S V B FINANCIAL GROUP,SIVB,522110,Q,A,R,78486Q10,60009531,12773,3,6020,6,17,262,1,1846,1987-10-23,2023-03-10,1987-10-23,2023-03-10,1987-10-23,2023-03-10,1987-10-23,2023-03-10
11850,20678,11,100,XOM,EXXON MOBIL CORP,XOM,211120,N,A,R,30231G10,0,0,1,1311,10,447,508,1,0,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31
11891,9764,11,100,MGM,M G M RESORTS INTERNATIONAL,MGM,721110,N,A,R,55295310,60009700,13015,1,7011,10,28,408,1,24,1988-05-02,2024-12-31,1988-05-02,2024-12-31,1988-05-02,2024-12-31,1988-05-02,2024-12-31
11896,9698,11,231,,MAXIM INTEGRATED PRODUCTS INC,MXIM,334413,Q,A,R,57772K10,60009635,12915,3,3674,4,73,221,1,1818,1988-02-29,2021-08-25,1988-02-29,2021-08-25,1988-02-29,2021-08-25,1988-02-29,2021-08-25
11955,9804,11,100,WM,WASTE MANAGEMENT INC DEL,WM,562219,N,A,R,94106L10,60009739,13069,1,4953,7,93,401,1,133,1988-06-03,2024-12-31,1988-06-03,2024-12-31,1988-06-03,2024-12-31,1988-06-03,2024-12-31
11970,9873,11,233,,AMERICAN POWER CONVERSION CORP,APCC,335999,Q,A,R,02906610,60009807,13165,3,3620,3,21,117,1,1192,1988-07-22,2007-02-14,1988-07-22,2007-02-14,1988-07-22,2007-02-14,1988-07-22,2007-02-14
11976,9905,11,233,,B M C SOFTWARE INC,BMC,511210,Q,A,R,05592110,60009838,13209,3,7372,5,5,203,1,780,1988-08-12,2013-09-10,1988-08-12,2013-09-10,1988-08-12,2013-09-10,1988-08-12,2013-09-10
11983,5872,11,231,,BIOGEN INC,BGEN,,Q,A,R,09059710,60005856,7302,3,2830,3,3,101,1,1169,1983-03-22,2003-11-12,1983-03-22,2003-11-12,1983-03-22,2003-11-12,1983-03-22,2003-11-12
11990,53463,11,100,KKR,K K R & CO INC,KKR,523940,N,A,R,48251W10,0,0,1,6282,8,59,183,1,0,2010-07-15,2024-12-31,2010-07-15,2024-12-31,2010-07-15,2024-12-31,2010-07-15,2024-12-31
11997,962,11,231,,COMCAST CORP,CMCSK,,Q,A,R,20030020,99995013,99995028,3,4840,2,55,75,1,862,1986-12-24,2002-11-18,1986-12-24,2002-11-18,1986-12-24,2002-11-18,1986-12-24,2002-11-18
12052,20791,11,100,GD,GENERAL DYNAMICS CORP,GD,336411,N,A,R,36955010,0,0,1,3721,8,316,489,1,0,1926-01-28,2024-12-31,1926-01-28,2024-12-31,1926-01-28,2024-12-31,1926-01-28,2024-12-31
12060,20792,11,100,GE,GENERAL ELECTRIC CO,GE,333611,N,A,R,36960430,0,0,1,3511,11,420,492,1,0,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31
12062,9848,11,100,LH,LABCORP HOLDINGS INC,LH,621511,N,A,R,50492210,60009782,13132,1,8071,10,31,406,1,52,1988-07-07,2024-12-31,1988-07-07,2024-12-31,1988-07-07,2024-12-31,1988-07-07,2024-12-31
12067,9903,11,231,,NOVELLUS SYSTEMS INC,NVLS,333249,Q,A,R,67000810,60009836,13206,3,3350,3,4,157,1,1751,1988-08-11,2012-06-04,1988-08-11,2012-06-04,1988-08-11,2012-06-04,1988-08-11,2012-06-04
12073,9847,11,231,,PEOPLES UNITED FINANCIAL INC,PBCT,522120,Q,A,R,71270410,60009781,13130,3,6036,5,128,250,1,1686,1988-07-06,2022-04-01,1988-07-06,2022-04-01,1988-07-06,2022-04-01,1988-07-06,2022-04-01
12076,9857,12,100,SIG,SIGNET JEWELERS LTD,SIG,458310,N,A,R,G8127610,70050936,0,1,5944,2,49,196,1,0,2008-09-11,2024-12-31,2008-09-11,2024-12-31,2008-09-11,2024-12-31,2008-09-11,2024-12-31
12079,20799,11,574,,GENERAL MOTORS CORP,GM,336111,N,A,R,37044210,0,0,1,3711,5,378,311,1,0,1925-12-31,2009-06-01,1925-12-31,2009-06-01,1925-12-31,2009-06-01,1925-12-31,2009-06-01
12084,53494,12,100,NXPI,N X P SEMICONDUCTORS N V,NXPI,334413,Q,A,R,N6596X10,60069873,66354,3,9999,1,26,76,1,582,2010-08-06,2024-12-31,2010-08-06,2024-12-31,2010-08-06,2024-12-31,2010-08-06,2024-12-31
12140,20833,11,233,,GOODRICH CORP,GR,336414,N,A,R,38238810,0,0,1,3761,10,326,352,1,0,1925-12-31,2012-07-26,1925-12-31,2012-07-26,1925-12-31,2012-07-26,1925-12-31,2012-07-26
12308,17322,11,100,CHTR,CHARTER COMMUNICATIONS INC NEW,CHTR,516210,Q,A,R,16119P10,60017317,65347,3,4841,5,1,82,1,512,2010-09-14,2024-12-31,2010-09-14,2024-12-31,2010-09-14,2024-12-31,2010-09-14,2024-12-31
12319,20926,11,231,,HOMESTAKE MINING CO,,,N,A,R,43761410,0,0,1,1041,3,531,211,1,0,1925-12-31,2001-12-14,1925-12-31,2001-12-14,1925-12-31,2001-12-14,1925-12-31,2001-12-14
12345,53531,12,100,LYB,LYONDELLBASELL INDUSTRIES N V,LYB,424690,N,A,R,N5374510,0,0,1,5169,7,56,177,1,0,2010-10-14,2024-12-31,2010-10-14,2024-12-31,2010-10-14,2024-12-31,2010-10-14,2024-12-31
12369,53554,11,100,GM,GENERAL MOTORS CO,GM,336110,N,A,R,37045V10,0,0,1,3711,2,35,172,1,0,2010-11-18,2024-12-31,2010-11-18,2024-12-31,2010-11-18,2024-12-31,2010-11-18,2024-12-31
12431,20977,12,100,TT,TRANE TECHNOLOGIES PLC,TT,333413,N,A,R,G8994E10,0,0,1,3564,14,450,502,1,0,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31
12448,53609,11,584,,FIRST REPUBLIC BANK S F NEW,FRC,522110,N,A,R,33616C10,0,0,1,6029,4,43,153,1,0,2010-12-09,2023-04-28,2010-12-09,2023-04-28,2010-12-09,2023-04-28,2010-12-09,2023-04-28
12449,53610,11,100,CPAY,CORPAY INC,CPAY,561499,N,A,R,21994810,0,0,1,7389,3,0,172,1,0,2010-12-15,2024-12-31,2010-12-15,2024-12-31,2010-12-15,2024-12-31,2010-12-15,2024-12-31
12456,53616,11,233,,MOTOROLA MOBILITY HOLDINGS INC,MMI,334220,N,A,R,62009710,0,0,1,3663,1,1,17,1,0,2011-01-04,2012-05-21,2011-01-04,2012-05-21,2011-01-04,2012-05-21,2011-01-04,2012-05-21
12476,53621,11,100,TRGP,TARGA RESOURCES CORP,TRGP,486210,N,A,R,87612G10,0,0,1,4922,3,57,172,1,0,2010-12-07,2024-12-31,2010-12-07,2024-12-31,2010-12-07,2024-12-31,2010-12-07,2024-12-31
12490,20990,11,100,IBM,INTERNATIONAL BUSINESS MACHS COR,IBM,334111,N,A,R,45920010,0,0,1,3571,8,440,535,1,0,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31
12503,21265,11,233,,NAVISTAR INTERNATIONAL CORP,NAV,336111,N,A,R,63934E10,0,0,1,3711,12,246,442,1,0,1925-12-31,2021-06-30,1925-12-31,2021-06-30,1925-12-31,2021-06-30,1925-12-31,2021-06-30
12511,20992,11,231,,MALLINCKRODT INC NEW,,,N,A,R,56123210,0,0,1,3841,8,229,211,1,0,1925-12-31,2000-10-17,1925-12-31,2000-10-17,1925-12-31,2000-10-17,1925-12-31,2000-10-17
12542,53656,12,233,,NIELSEN HOLDINGS PLC,NLSN,541720,N,A,R,G6518L10,0,0,1,8733,4,40,145,1,0,2011-01-26,2022-10-11,2011-01-26,2022-10-11,2011-01-26,2022-10-11,2011-01-26,2022-10-11
12546,20973,12,520,,INCO LTD,N,212234,N,A,R,45325840,0,0,1,1061,8,322,276,1,0,1925-12-31,2006-11-16,1925-12-31,2006-11-16,1925-12-31,2006-11-16,1925-12-31,2006-11-16
12558,53667,11,100,KMI,KINDER MORGAN INC,KMI,221210,N,A,R,49456B10,0,0,1,4924,4,54,171,1,0,2011-02-11,2024-12-31,2011-02-11,2024-12-31,2011-02-11,2024-12-31,2011-02-11,2024-12-31
12570,20964,11,100,ITT,I T T INC,ITT,333996,N,A,R,45073V10,0,0,1,3594,17,348,510,1,0,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31
12591,53688,11,100,APO,APOLLO GLOBAL MANAGEMENT INC NEW,APO,523940,N,A,R,03769M10,0,0,1,6282,5,64,171,1,0,2011-03-30,2024-12-31,2011-03-30,2024-12-31,2011-03-30,2024-12-31,2011-03-30,2024-12-31
12622,53696,11,100,HCA,H C A HEALTHCARE INC,HCA,622110,N,A,R,40412C10,0,0,1,8062,4,28,170,1,0,2011-03-10,2024-12-31,2011-03-10,2024-12-31,2011-03-10,2024-12-31,2011-03-10,2024-12-31
12623,53697,11,100,HII,HUNTINGTON INGALLS INDS INC,HII,336611,N,A,R,44641310,0,0,1,3731,4,49,168,1,0,2011-03-31,2024-12-31,2011-03-31,2024-12-31,2011-03-31,2024-12-31,2011-03-31,2024-12-31
12650,21033,11,241,,KANSAS CITY SOUTHERN,KSU,482111,N,A,R,48517030,0,0,1,4011,8,300,455,1,0,1925-12-31,2021-12-13,1925-12-31,2021-12-13,1925-12-31,2021-12-13,1925-12-31,2021-12-13
12749,21028,11,574,,K MART CORP,KM,,N,A,R,48258410,0,0,1,5331,5,299,222,1,0,1925-12-31,2002-12-18,1925-12-31,2002-12-18,1925-12-31,2002-12-18,1925-12-31,2002-12-18
12872,53810,11,100,MPC,MARATHON PETROLEUM CORP,MPC,324110,N,A,R,56585A10,0,0,1,2911,1,55,164,1,0,2011-07-01,2024-12-31,2011-07-01,2024-12-31,2011-07-01,2024-12-31,2011-07-01,2024-12-31
12981,53876,11,100,FBIN,FORTUNE BRANDS INNOVATIONS INC,FBIN,332510,N,A,R,34964C10,0,0,1,3429,6,48,165,1,0,2011-10-04,2024-12-31,2011-10-04,2024-12-31,2011-10-04,2024-12-31,2011-10-04,2024-12-31
13035,53896,11,100,XYL,XYLEM INC,XYL,333914,N,A,R,98419M10,0,0,1,3561,4,53,162,1,0,2011-11-01,2024-12-31,2011-11-01,2024-12-31,2011-11-01,2024-12-31,2011-11-01,2024-12-31
13056,121,11,233,,AMERICAN GREETINGS CORP,AM,323111,N,A,R,02637510,60000120,168,1,2771,5,156,275,1,401,1972-12-14,2013-08-08,1972-12-14,2013-08-08,1972-12-14,2013-08-08,1982-11-01,2013-08-08
13100,21172,11,241,,MAY DEPARTMENT STORES CO,MAY,452110,N,A,R,57777810,0,0,1,5311,6,343,274,1,0,1925-12-31,2005-08-29,1925-12-31,2005-08-29,1925-12-31,2005-08-29,1925-12-31,2005-08-29
13103,53927,12,100,APTV,APTIV PLC NEW,APTV,336390,N,A,R,G3265R10,0,0,1,3714,4,30,162,1,0,2011-11-17,2024-12-31,2011-11-17,2024-12-31,2011-11-17,2024-12-31,2011-11-17,2024-12-31
13119,21173,11,241,,MAYTAG CORP,MYG,335224,N,A,R,57859210,0,0,1,3633,7,317,267,1,0,1925-12-31,2006-03-31,1925-12-31,2006-03-31,1925-12-31,2006-03-31,1925-12-31,2006-03-31
13141,53947,11,231,,W P X ENERGY INC,WPX,211120,N,A,R,98212B10,0,0,1,1311,4,1,113,1,0,2012-01-03,2021-01-06,2012-01-03,2021-01-06,2012-01-03,2021-01-06,2012-01-03,2021-01-06
13142,53948,12,100,CPRI,CAPRI HOLDINGS LTD,CPRI,551112,N,A,R,G1890L10,0,0,1,6719,6,0,163,1,0,2011-12-15,2024-12-31,2011-12-15,2024-12-31,2011-12-15,2024-12-31,2011-12-15,2024-12-31
13168,53964,11,100,TRIP,TRIPADVISOR INC,TRIP,561510,Q,A,R,89694520,60071646,69412,3,9999,2,1,118,1,508,2011-12-21,2024-12-31,2011-12-21,2024-12-31,2011-12-21,2024-12-31,2011-12-21,2024-12-31
13210,53983,11,100,EPAM,EPAM SYSTEMS INC,EPAM,541511,N,A,R,29414B10,0,0,1,7371,3,0,158,1,0,2012-02-08,2024-12-31,2012-02-08,2024-12-31,2012-02-08,2024-12-31,2012-02-08,2024-12-31
13323,54026,11,100,ENPH,ENPHASE ENERGY INC,ENPH,334413,Q,A,R,29355A10,60071358,68868,3,9999,2,0,122,1,470,2012-03-30,2024-12-31,2012-03-30,2024-12-31,2012-03-30,2024-12-31,2012-03-30,2024-12-31
13356,54048,11,100,PSX,PHILLIPS 66,PSX,324110,N,A,R,71854610,0,0,1,2911,5,50,157,1,0,2012-05-01,2024-12-31,2012-05-01,2024-12-31,2012-05-01,2024-12-31,2012-05-01,2024-12-31
13407,54084,11,100,META,META PLATFORMS INC,META,519290,Q,A,R,30303M10,60072175,70352,3,7375,6,4,111,1,627,2012-05-18,2024-12-31,2012-05-18,2024-12-31,2012-05-18,2024-12-31,2012-05-18,2024-12-31
13447,54109,11,100,NOW,SERVICENOW INC,NOW,541512,N,A,R,81762P10,0,0,1,7379,6,0,156,1,0,2012-06-29,2024-12-31,2012-06-29,2024-12-31,2012-06-29,2024-12-31,2012-06-29,2024-12-31
13511,54139,11,100,PANW,PALO ALTO NETWORKS INC,PANW,334118,Q,A,R,69743510,60072477,70893,3,7371,6,2,151,1,71,2012-07-20,2024-12-31,2012-07-20,2024-12-31,2012-07-20,2024-12-31,2012-07-20,2024-12-31
13567,54174,11,233,,A D T CORP,ADT,561613,N,A,R,00101J10,0,0,1,7381,2,15,45,1,0,2012-10-01,2016-04-29,2012-10-01,2016-04-29,2012-10-01,2016-04-29,2012-10-01,2016-04-29
13586,54185,12,100,PNR,PENTAIR PLC,PNR,332911,N,A,R,G7S00T10,0,0,1,3491,8,50,155,1,0,2012-10-01,2024-12-31,2012-10-01,2024-12-31,2012-10-01,2024-12-31,2012-10-01,2024-12-31
13598,54193,11,241,,KRAFT FOODS GROUP INC,KRFT,311513,Q,A,R,50076Q10,60072519,70960,3,9999,2,12,29,1,142,2012-10-02,2015-07-02,2012-10-02,2015-07-02,2012-10-02,2015-07-02,2012-10-02,2015-07-02
13628,54213,11,100,WDAY,WORKDAY INC,WDAY,541511,Q,A,R,98138H10,60072710,71323,3,7372,5,0,126,1,213,2012-10-12,2024-12-31,2012-10-12,2024-12-31,2012-10-12,2024-12-31,2012-10-12,2024-12-31
13641,54222,11,100,FANG,DIAMONDBACK ENERGY INC,FANG,211120,Q,A,R,25278X10,2003649,70296,3,9999,3,36,120,1,403,2012-10-12,2024-12-31,2012-10-12,2024-12-31,2012-10-12,2024-12-31,2012-10-12,2024-12-31
13688,21356,11,100,PCG,P G & E CORP,PCG,221118,N,A,R,69331C10,0,0,1,4931,13,441,533,1,0,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31
13721,54287,11,100,ABBV,ABBVIE INC,ABBV,325412,N,A,R,00287Y10,0,0,1,2834,1,48,145,1,0,2013-01-02,2024-12-31,2013-01-02,2024-12-31,2013-01-02,2024-12-31,2013-01-02,2024-12-31
13760,54313,12,100,NCLH,NORWEGIAN CRUISE LINE HLDGS LTD,NCLH,551112,N,A,R,G6672110,60070773,67857,1,6719,3,0,135,1,219,2013-01-18,2024-12-31,2013-01-18,2024-12-31,2013-01-18,2024-12-31,2013-01-18,2024-12-31
13788,54327,11,100,ZTS,ZOETIS INC,ZTS,325412,N,A,R,98978V10,0,0,1,2834,3,47,146,1,0,2013-02-01,2024-12-31,2013-02-01,2024-12-31,2013-02-01,2024-12-31,2013-02-01,2024-12-31
13821,21382,11,231,,PEOPLES ENERGY CORP,PGL,221210,N,A,R,71103010,0,0,1,4924,8,329,292,1,0,1925-12-31,2007-02-21,1925-12-31,2007-02-21,1925-12-31,2007-02-21,1925-12-31,2007-02-21
13856,21384,11,100,PEP,PEPSICO INC,PEP,312111,Q,A,R,71344810,60019752,26463,3,2086,8,329,595,1,139,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31
13901,21398,11,100,MO,ALTRIA GROUP INC,MO,312230,N,A,R,02209S10,0,0,1,2111,15,425,511,1,0,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31
13911,54401,11,100,IQV,IQVIA HOLDINGS INC,IQV,541715,N,A,R,46266C10,0,0,1,8731,7,0,147,1,0,2013-05-09,2024-12-31,2013-05-09,2024-12-31,2013-05-09,2024-12-31,2013-05-09,2024-12-31
13928,21401,11,100,COP,CONOCOPHILLIPS,COP,213112,N,A,R,20825C10,0,0,1,1382,9,431,504,1,0,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31,1925-12-31,2024-12-31
